Gender,ClassYear,LarkOwl,NumEarlyClass,EarlyClass,GPA,ClassesMissed,CognitionZscore,PoorSleepQuality,DepressionScore,AnxietyScore,StressScore,DepressionStatus1,DepressionStatus,AnxietyStatus1,AnxietyStatus,Stress1,Stress,DASScore,Happiness,AlcoholUse,AlcoholUse,Drinks,WeekdayBed,WeekdayRise,WeekdaySleep,WeekendBed,WeekendRise,WeekendSleep,AverageSleep,AllNighter
0,3,Owl,2,1,3.5,1,-0.37,4,14,4,7,3,moderate,1,normal,0,normal,25,28,4,Abstain,1,25.4,8.07,6.67,26,8.13,6.13,6.51,0
0,3,Lark,0,0,3.25,1,-0.37,6,6,12,16,1,normal,3,moderate,1,high,34,29,3,Light,3,23.2,9.3,10.9,23.5,8,6.5,9.64,0
1,3,Neither,1,1,2.9,0,-0.4,6,1,2,3,1,normal,1,normal,0,normal,6,29,4,Moderate,8,25.1,8.25,7.15,26.5,11,8.5,7.54,0
1,2,Neither,3,1,2.8,0,-0.4,3,1,4,1,1,normal,1,normal,0,normal,6,30,4,Moderate,10,25.77,9.52,8.55,25.25,11.25,8,8.39,1
0,4,Lark,0,0,3.79,0,-0.42,3,3,2,9,1,normal,1,normal,0,normal,14,30,3,Light,1,25.46,8.78,7.83,25,10.42,8.42,7.99,0
0,1,Neither,4,1,3.7,0,-0.43,6,9,13,25,1,normal,3,moderate,1,high,47,17,3,Light,5,25.05,8.37,8.22,24.5,9.63,6.88,7.83,0
1,2,Neither,0,0,3.15,2,-0.43,5,0,4,3,1,normal,1,normal,0,normal,7,30,4,Moderate,12,25.2,10.4,9.6,26.5,10.5,7,8.86,0
1,2,Neither,0,0,2.7,0,-0.45,5,4,5,3,1,normal,1,normal,0,normal,12,25,3,Light,7,24.2,10.4,10.2,24,9.5,9.5,10,0
0,1,Neither,1,1,3.7,2,-0.46,7,5,10,8,1,normal,3,moderate,0,normal,23,27,4,Moderate,6,25.35,9.25,8.3,27,9.25,5.25,7.43,1
0,4,Owl,1,1,3.19,13,-0.47,8,2,8,11,1,normal,3,moderate,0,normal,21,30,4,Moderate,6,26,9.05,6.65,26.88,10.67,8.79,7.26,0
1,2,Neither,0,0,3,0,-0.47,8,2,8,11,1,normal,3,moderate,0,normal,21,24,4,Moderate,10,25.3,9.8,8.4,26.5,10.75,8.5,8.43,0
1,1,Neither,2,1,3.25,2,-0.48,7,7,6,7,1,normal,1,normal,0,normal,20,31,3,Light,3,23.3,8.4,8.8,25.5,10,9.25,8.93,0
0,2,Neither,4,1,3.2,0,-0.48,4,1,2,4,1,normal,1,normal,0,normal,7,30,4,Moderate,6,24.33,7.75,7.52,25.75,11.13,9.13,7.98,0
1,3,Owl,0,0,3,5,-0.49,7,1,3,1,1,normal,1,normal,0,normal,5,29,4,Heavy,15,29.1,12.02,7.02,30.25,15,8.5,7.44,1
0,1,Owl,5,1,4,0,-0.51,8,4,10,14,1,normal,3,moderate,0,normal,28,20,4,Moderate,5,24.4,8.17,7.17,26.5,10.75,9.75,7.9,0
1,1,Lark,4,1,3.42,0,-0.51,8,16,1,4,3,moderate,1,normal,0,normal,21,26,3,Light,5,24.09,8.14,8.75,25.5,13.27,10.02,9.11,0
0,2,Neither,0,0,3,1,-0.52,9,1,5,2,1,normal,1,normal,0,normal,8,28,4,Abstain,0,24.2,8.97,9.17,24,9.25,8.25,8.9,0
0,1,Neither,4,1,3.5,0,-0.54,3,2,4,5,1,normal,1,normal,0,normal,11,27,4,Moderate,3,25.15,8,7.2,25.88,10.13,7.38,7.25,1
1,2,Neither,0,0,2.75,0,-0.54,7,3,5,2,1,normal,1,normal,0,normal,10,30,4,Moderate,13,26,9.6,7.8,27.5,12,8,7.86,0
1,3,Owl,3,1,2.8,20,-0.57,15,6,5,10,1,normal,1,normal,0,normal,21,19,4,Moderate,7,25.25,8.12,7.2,25.67,10.5,8,7.43,0
0,3,Neither,0,0,3.3,1,-0.58,5,1,6,12,1,normal,1,normal,0,normal,19,34,3,Light,2,25,9.65,8.45,26,10.38,8.88,8.57,0
0,2,Lark,0,0,3,0,-0.59,10,2,2,3,1,normal,1,normal,0,normal,7,29,3,Light,3,23.9,9.07,9.02,25.13,9.75,9,9.01,0
0,4,Neither,0,0,3.5,0,-0.6,5,0,2,13,1,normal,1,normal,0,normal,15,28,4,Moderate,3,24.4,8.4,8.6,25,8.75,6.25,7.93,0
1,4,Neither,2,1,3.35,2,-0.6,7,5,8,16,1,normal,3,moderate,1,high,29,24,4,Heavy,18,25.4,7.83,6.73,25.5,10.75,8.5,7.24,0
0,4,Lark,2,1,3.93,0,-0.72,4,0,9,13,1,normal,3,moderate,0,normal,22,29,3,Light,1,23.55,6.8,7.05,24,8.5,9,7.61,0
0,2,Neither,3,1,3.5,0,-0.72,6,2,4,8,1,normal,1,normal,0,normal,14,30,3,Light,2,26.3,7.35,5.35,26,9.13,6.38,5.64,0
1,2,Lark,3,1,3.2,3,-0.73,12,13,1,14,3,moderate,1,normal,0,normal,28,27,4,Heavy,10,25.15,7.1,5.7,23.71,6.5,7.42,6.19,0
0,2,Neither,5,1,3.3,2,-0.75,5,4,14,27,1,normal,3,moderate,1,high,45,29,4,Heavy,5,24.5,7.97,7.12,26.38,8.38,6.88,7.05,0
0,2,Neither,5,1,3,7,-0.75,8,13,10,22,3,moderate,3,moderate,1,high,45,15,4,Moderate,5,24.6,8,8.2,24,12,10,8.71,0
0,3,Neither,2,1,1.5,1,-0.75,6,1,2,1,1,normal,1,normal,0,normal,4,23,4,Moderate,5,25.3,7.55,6.85,26,7.88,4.38,6.14,0
1,2,Neither,5,1,3.3,7,-0.76,6,14,3,10,3,moderate,1,normal,0,normal,27,16,4,Moderate,5,24.8,7.5,7.5,25.5,12.75,9.25,8,0
0,4,Neither,0,0,3.4,1,-0.78,9,4,14,18,1,normal,3,moderate,1,high,36,27,3,Light,3,24.7,8.7,8.05,24.13,8.25,8,8.04,0
1,3,Owl,0,0,2.4,4,-0.79,8,4,7,5,1,normal,1,normal,0,normal,16,31,4,Moderate,10,26.13,10.13,8.83,27.25,10.75,5.44,7.86,0
1,4,Neither,2,1,3,3,-0.8,8,3,0,6,1,normal,1,normal,0,normal,9,28,4,Moderate,7,24.15,7.97,8.22,25.75,11,8.25,8.23,0
0,2,Neither,2,1,2.8,5,-0.8,8,16,7,21,3,moderate,1,normal,1,high,44,25,4,Moderate,4,22.9,6.85,8.25,23.75,9.09,8.59,8.34,0
1,4,Neither,0,0,2.75,5,-0.81,6,2,1,3,1,normal,1,normal,0,normal,6,29,3,Light,10,24.5,8.9,8.5,25.25,9.75,8.25,8.43,0
1,2,Owl,0,0,3.25,15,-0.82,7,8,6,5,1,normal,1,normal,0,normal,19,26,4,Moderate,7,25.1,10.2,8.9,28.25,12.75,9,8.93,1
0,4,Neither,2,1,3.1,3,-0.82,5,1,3,6,1,normal,1,normal,0,normal,10,29,4,Moderate,6,26.4,7.6,5.7,26.75,12,8,6.36,0
0,1,Neither,1,1,3.75,0,-0.83,4,2,3,18,1,normal,1,normal,1,high,23,31,4,Abstain,0,24.4,7.95,7.65,26.25,10.5,8,7.75,0
1,2,Neither,2,1,3.2,0,-0.83,5,1,0,0,1,normal,1,normal,0,normal,1,25,4,Moderate,9,25.13,8.42,7.73,25.63,9.25,6.5,7.38,0
0,2,Owl,0,0,3.3,2,-0.84,5,1,4,4,1,normal,1,normal,0,normal,9,24,4,Moderate,7,24.3,10.52,10.12,27.5,12.5,9.25,9.87,0
0,4,Neither,2,1,3,2,-0.86,6,7,8,14,1,normal,3,moderate,0,normal,29,25,4,Moderate,5,25,8.6,8.1,25.5,8.5,5.75,7.43,0
1,4,Neither,2,1,3,2,-0.86,12,28,21,25,1,severe,1,severe,1,high,74,12,4,Moderate,5,26.45,9.03,6.63,26.25,10.75,8.38,7.13,1
1,4,Lark,0,0,3,1,-0.89,6,7,10,23,1,normal,3,moderate,1,high,40,25,3,Light,8,24.9,8.92,8.02,27.25,10.25,7,7.73,0
1,3,Neither,2,1,3,2,-0.91,5,1,2,8,1,normal,1,normal,0,normal,11,31,4,Heavy,10,24.9,8.37,7.57,26.75,11.75,8.75,7.91,0
0,2,Owl,2,1,3.32,0,-0.93,9,6,0,11,1,normal,1,normal,0,normal,17,28,4,Heavy,7,25,9.15,8.35,27,13.5,10,8.82,0
1,2,Owl,0,0,2.5,0,-0.93,10,11,10,9,3,moderate,3,moderate,0,normal,30,29,4,Heavy,15,27.3,10.4,7.1,28.5,11,6.5,6.93,1
0,2,Neither,5,1,3.2,1,-0.97,8,6,2,24,1,normal,1,normal,1,high,32,26,4,Moderate,7,24.1,7.78,7.72,24.15,9.79,9.54,8.24,0
1,3,Neither,0,0,3.5,1,-0.99,8,3,1,6,1,normal,1,normal,0,normal,10,30,4,Moderate,7,26.5,9.64,7.64,26.25,11.25,7.75,7.67,0
1,2,Neither,5,1,2.5,3,-1,3,2,1,2,1,normal,1,normal,0,normal,5,32,4,Moderate,13,23.35,7.75,8.4,25,10.88,9.88,8.82,0
1,2,Neither,5,1,3.2,2,-1.02,7,21,12,20,1,severe,3,moderate,1,high,53,16,3,Light,9,25.3,8.45,6.7,26.13,10.96,9.96,7.63,1
1,2,Neither,0,0,2.75,2,-1.04,4,4,6,8,1,normal,1,normal,0,normal,18,29,4,Moderate,10,24,10.97,10.97,25.5,11.25,9.75,10.62,0
0,1,Neither,0,0,3.5,0,-1.05,10,7,10,10,1,normal,3,moderate,0,normal,27,30,4,Moderate,6,24.2,8.27,7.67,26.25,10.92,9.67,8.24,0
1,2,Neither,0,0,3.4,0,-1.06,9,10,3,8,3,moderate,1,normal,0,normal,21,25,3,Light,4,25.9,8.65,7.05,25.5,9.75,7.5,7.18,0
0,2,Neither,0,0,3.4,0,-1.11,4,2,5,7,1,normal,1,normal,0,normal,14,25,3,Light,4,24.8,9.25,9.25,24.75,9.75,7,8.61,0
1,2,Neither,3,1,3.25,1,-1.13,5,0,3,8,1,normal,1,normal,0,normal,11,32,4,Moderate,8,25.5,8.8,7.45,26.13,9.5,7,7.32,0
0,1,Lark,0,0,2.5,8,-1.13,10,5,15,4,1,normal,1,severe,0,normal,24,29,4,Moderate,5,25.7,8.2,6.6,23.5,6,6.25,6.5,1
1,2,Owl,3,1,3.3,0,-1.15,11,3,2,5,1,normal,1,normal,0,normal,10,30,4,Abstain,0,25.4,9.1,7.3,26.5,10.5,9,7.79,0
0,4,Neither,2,1,3.25,4,-1.16,9,7,10,12,1,normal,3,moderate,0,normal,29,21,4,Moderate,7,23.2,8.4,8.9,25.25,10,9.5,9.07,0
0,1,Neither,0,0,3.5,2,-1.17,8,12,7,13,3,moderate,1,normal,0,normal,32,25,3,Light,4,26.6,9.1,7,26.25,8.5,5,6.43,0
1,2,Owl,0,0,3.1,7,-1.17,5,3,2,1,1,normal,1,normal,0,normal,6,29,4,Moderate,9,26.13,9.37,7.28,27.5,11.76,8.14,7.53,0
1,2,Lark,5,1,3,0,-1.18,8,23,12,20,1,severe,3,moderate,1,high,55,24,4,Heavy,12,24,7.9,8.5,25.5,10.5,7.5,8.22,0
0,4,Neither,0,0,3.75,0,-1.21,7,12,12,23,3,moderate,3,moderate,1,high,47,20,3,Light,4,22.87,8.19,9.11,23.63,8.5,9.38,9.19,0
1,2,Owl,3,1,2.3,4,-1.23,8,2,3,2,1,normal,1,normal,0,normal,7,31,3,Light,12,26.3,8.07,6.57,26.25,13.75,9.5,7.4,0
0,4,Neither,3,1,2.8,0,-1.27,3,4,1,2,1,normal,1,normal,0,normal,7,18,3,Light,6,23.8,8.1,8.4,25.25,10.75,9.25,8.64,0
